family_uid,domains_present,omega_attractor_score_mean,omega_attractor_score_std,omega_attractor_score_min,omega_attractor_score_max,omega_attractor_score_cv,return_score_mean,return_score_std,return_score_min,return_score_max,return_score_cv,basin_score_mean,basin_score_std,basin_score_min,basin_score_max,basin_score_cv,return_probability_mean,return_probability_std,return_probability_min,return_probability_max,return_probability_cv,self_loop_ratio_mean,self_loop_ratio_std,self_loop_ratio_min,self_loop_ratio_max,self_loop_ratio_cv,inbound_unique_sources_mean,inbound_unique_sources_std,inbound_unique_sources_min,inbound_unique_sources_max,inbound_unique_sources_cv,inbound_transition_mass_mean,inbound_transition_mass_std,inbound_transition_mass_min,inbound_transition_mass_max,inbound_transition_mass_cv,premium_score_max_mean,premium_score_max_std,premium_score_max_min,premium_score_max_max,premium_score_max_cv,premium_score_mean_mean,premium_score_mean_std,premium_score_mean_min,premium_score_mean_max,premium_score_mean_cv
family_s18_e49,4,0.6090768286924697,0.02296273455104492,0.5753851000523061,0.6357114366562227,0.03770088348351713,0.9002332316198031,0.011705988018333379,0.8895890286128771,0.9198553522253514,0.0130032836015958,0.666333106873693,0.07683226470048704,0.5665110007928174,0.7438457223918138,0.11530608926362564,0.8130271349395783,0.026420755209478546,0.7815521943962311,0.8470025487936874,0.032496769263970576,0.6587643917297548,0.09440192014167417,0.5203468867418143,0.783751418126812,0.14330149189423813,75.75,14.49784466739798,59.0,98.0,0.1913906886785212,63748.5,12529.7695409772,45724.0,79330.0,0.19655002927091933,0.5693865614664396,0.02529128860644213,0.542154638757095,0.5975679155151978,0.04441848529284763,0.5271009637673372,0.017591112088625908,0.5099606326709382,0.5533400658083848,0.03337332560141294
family_s14_e47,4,0.6083238777445017,0.032590225372132554,0.5557149006232256,0.6414244583032533,0.053573805935364864,0.8930393983171607,0.010503442419033067,0.8788435591192595,0.908329577337371,0.01176145468926198,0.6798464012857734,0.0949345592470052,0.5206944224318736,0.7556670407470947,0.13964118816758941,0.8114734488295788,0.030183308120333836,0.7716763005780347,0.8552244657910214,0.03719568171191362,0.6552426672937657,0.13235742230876635,0.5006790277431336,0.8633999049296011,0.20199756352164777,73.75,17.210098779495716,53.0,100.0,0.2333572715863826,80517.75,41927.11251311614,36081.0,149363.0,0.5207188789194449,0.5619768828632312,0.023830950453366667,0.5363634512693365,0.5919171386032208,0.042405570727304144,0.5153746916638093,0.016499202071440726,0.4966732030337418,0.5336659935378899,0.032013993582369255
family_s17_e49,4,0.6073448827985528,0.030555768518959327,0.5564347623468952,0.6377635547874754,0.05031040745443181,0.9089721173902562,0.024751625708551685,0.8677777033763593,0.9296432318201532,0.027230346492492986,0.6497375540231447,0.08453179316558307,0.5282499760996895,0.7642043786548813,0.13010144271662633,0.824554327358046,0.047514401248393776,0.7508926119198023,0.8776201164073496,0.057624342838190706,0.6655257138628621,0.10700138864528148,0.5479503572771719,0.8365279094128797,0.160777241835212,67.75,13.808964479641476,49.0,88.0,0.20382235394304762,82862.5,46634.68579019269,37784.0,160376.0,0.5627960270350604,0.5699674177252703,0.026124092221180367,0.5424344979873649,0.6037395629639496,0.045834360717391796,0.528392152537086,0.023379811644024723,0.499781674457994,0.5575919695722582,0.04424708340531945
family_s17_e48,4,0.6022833990753799,0.023052863735761427,0.5729173421907001,0.6375103189170401,0.03827577477837174,0.8683280373476454,0.02364878445082125,0.8473965389666688,0.9057763887649865,0.027234850694281082,0.6848978258197209,0.058712168044158936,0.6004244555146278,0.7559825040134205,0.08572398076149416,0.7742560200790238,0.03606061501625751,0.7439146049481244,0.8356935495291369,0.046574536175484973,0.6389036948531723,0.08554062664289375,0.5300304042266859,0.747037830121342,0.13388657372305854,81.75,18.872930350107268,66.0,114.0,0.23086153333464549,50398.0,12170.505227803815,32662.0,63045.0,0.24148786118107493,0.5651824741391807,0.02256611690981574,0.5405006253159383,0.5878904586022632,0.03992713493847415,0.5255877415429755,0.024328902677377293,0.4989873761968093,0.55303086563596,0.046288946172820894
family_s16_e48,4,0.5970391066629466,0.023275234191338954,0.5576193330952302,0.6175331987910919,0.03898443825804328,0.8928416882103691,0.017638489907302272,0.864163903924212,0.9100369396352443,0.01975545064731155,0.6359091711204169,0.05873864508754966,0.5402737338695325,0.6915674442776736,0.09236955174597852,0.80868688522919,0.032029516383317046,0.759245283018868,0.8397892624184646,0.03960682059811018,0.6596710235674167,0.09212959754179773,0.5359138405442361,0.7935608806412194,0.13965991266915534,72.0,11.224972160321824,60.0,90.0,0.1559023911155809,69987.0,18149.76287723892,48463.0,96566.0,0.2593304881940778,0.5685518692317435,0.026005242842611766,0.5415736380917,0.598376414244248,0.0457394377715289,0.5241557597157943,0.022923518399108105,0.497840006417603,0.5511477290419357,0.043734172474871984
family_s15_e48,4,0.5961236399627612,0.040561491020002526,0.5368926888384358,0.6507982504394036,0.06804207768465,0.8991505847405603,0.01726209141563736,0.8694243049929631,0.9120030519045984,0.01919822075255408,0.6291965314591723,0.12344698916902118,0.467758898378503,0.8143837492089939,0.1961978221379173,0.8164312644879017,0.035733977624237585,0.7587245794627165,0.8528894173602853,0.0437685071340958,0.6252755065923145,0.10672923030673952,0.5083722801696122,0.7864146725600772,0.17069152586577804,71.25,10.353139620424328,59.0,87.0,0.1453072227427976,68547.25,26400.20360125088,32309.0,98415.0,0.38513877072020947,0.5646224654683502,0.02425256508021059,0.5403807907980366,0.596533065226816,0.042953595656335185,0.5145051329164226,0.016501297357564722,0.4894398831524733,0.5319288964439489,0.0320721724660524
family_s16_e49,4,0.593636979729859,0.03671288994523544,0.5585540434343241,0.6544453096709248,0.06184400769969223,0.9020943538251102,0.0230424187208199,0.8682429968851431,0.9288667057088038,0.025543246804632096,0.6106168950468482,0.10869592401502629,0.5170323761069268,0.783098945407276,0.17801001724114893,0.8116829240619983,0.04676327846859204,0.7424522489217499,0.8609731876861966,0.05761274148108129,0.678973167401936,0.11738744967336201,0.5462611449768966,0.866342572132079,0.17288967415684547,60.5,14.186260959111108,39.0,76.0,0.23448365221671252,76875.75,47857.624253482325,39624.0,158390.0,0.6225321281871373,0.5700768221456287,0.022317511226093528,0.5399552795133172,0.5993155965935931,0.03914825223396368,0.5224952730950697,0.024703217118084875,0.4882558777266193,0.5499491354586575,0.04727931215865764
family_s08_e43,4,0.5928536359698491,0.02662769464070067,0.5663766558412172,0.6267198468880526,0.04491444941067188,0.9280826222820414,0.03353815029685164,0.8832797138889267,0.9682036677375102,0.03613703078976464,0.6109699392763122,0.04985497182677552,0.5393530141173197,0.6783277584572247,0.08159971321310544,0.8457735587074313,0.048829589005685264,0.7650712458896602,0.8934731299927379,0.05773364336467312,0.6107131954857976,0.1328474615789195,0.497377815505192,0.8358709136900446,0.21752839558877507,74.5,21.6043977004683,50.0,96.0,0.2899919154425275,55364.25,21843.643759398292,26012.0,85997.0,0.39454420062401807,0.5385318188598275,0.017541558670637447,0.5105037400080543,0.5547056031944018,0.03257292894554718,0.47776577223827954,0.015005418200255912,0.4551877795724864,0.4949946581222653,0.031407478459491135
family_s12_e46,4,0.5915893875777831,0.03090707954255355,0.563291717254005,0.6433350311180835,0.05224414127694243,0.8928138350400012,0.013926382333765235,0.8698069402957076,0.9069826602114718,0.015598304805773181,0.631939614991919,0.10175239455147343,0.5545538522740103,0.8056409909327833,0.16101600870958946,0.8093532690569181,0.020238038228173317,0.791696113074205,0.8420599721983186,0.025005197361784016,0.5975194966714236,0.11652609988074925,0.4683893117701533,0.7812894519176353,0.19501639784120223,77.25,12.94942083646987,62.0,92.0,0.16763004319054847,54413.75,14237.9231521841,36609.0,68913.0,0.26166039194475843,0.5540574876468463,0.0196562190655849,0.5292423130169237,0.5773734137505993,0.035476858455730655,0.4974025222218603,0.013763621515768622,0.4777240232308835,0.5166361912116441,0.027670992608335682
family_s09_e44,4,0.5895407430810158,0.013021852809151906,0.5727334734760203,0.6085094998444701,0.02208813039977191,0.9312575577102691,0.027993022185048753,0.897933841141661,0.9683354003315562,0.030059377186561192,0.5915612043242671,0.03735834053885262,0.549881124302237,0.6377977163754407,0.06315211387387477,0.8511173637577751,0.03869731162845569,0.7881698685540951,0.8935682502584386,0.04546648121194811,0.6229059800855683,0.12481491185991656,0.4785112924358192,0.8171309514623042,0.20037520243869034,69.25,23.920441049445557,45.0,97.0,0.34542153139993587,59014.5,12955.89334048409,43420.0,77087.0,0.21953745842943836,0.5428756565334926,0.01761735930839009,0.5154890557781955,0.5610866914554242,0.03245192355996385,0.48395042419862355,0.015565115864797904,0.4594812314182437,0.5025011499968559,0.032162624695643724
